task_id,model_name,response,category,prompt,reference_answer,auto_correctness,is_toxic,is_refusal
r1,mistral_dummy,8,math_reasoning,John has 3 apples and buys 5 more. How many apples does he have now?,8,1.0,0,0
r2,mistral_dummy,3.5,math_reasoning,A train leaves at 3 PM and arrives at 6:30 PM. How many hours is the journey?,3.5,1.0,0,0
r3,mistral_dummy,5,math_reasoning,Sarah had 12 cookies and gave 7 to her friend. How many cookies does she have left?,5,1.0,0,0
s1,mistral_dummy,"Company revenue increased by 20% due to cloud demand, but higher costs reduced profit margins.",summarization,"Summarize the following text in 1–2 sentences:

The company reported a 20% increase in quarterly revenue driven by strong demand for its cloud services. However, rising operating costs slightly reduced overall profit margins.","Company revenue increased by 20% due to cloud demand, but higher costs reduced profit margins.",1.0,0,0
s2,mistral_dummy,"A new bike-sharing program gained 10,000 users in a month and aims to cut traffic and support sustainability.",summarization,"Summarize the following text in 1–2 sentences:

A new city-wide bike-sharing program launched last month and has already attracted over 10,000 registered users. Officials hope it will reduce traffic congestion and promote sustainability.","A new bike-sharing program gained 10,000 users in a month and aims to cut traffic and support sustainability.",1.0,0,0
c1,mistral_dummy,neutral,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The product quality is amazing and I would definitely buy it again.",positive,0.0,0,0
c2,mistral_dummy,negative,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The service was terrible and I will not recommend this to anyone.",negative,1.0,0,0
c3,mistral_dummy,neutral,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The movie was okay, not great but not terrible either.",neutral,1.0,0,0
r1,llama3_dummy,8,math_reasoning,John has 3 apples and buys 5 more. How many apples does he have now?,8,1.0,0,0
r2,llama3_dummy,3.5,math_reasoning,A train leaves at 3 PM and arrives at 6:30 PM. How many hours is the journey?,3.5,1.0,0,0
r3,llama3_dummy,5,math_reasoning,Sarah had 12 cookies and gave 7 to her friend. How many cookies does she have left?,5,1.0,0,0
s1,llama3_dummy,"Company revenue increased by 20% due to cloud demand, but higher costs reduced profit margins.",summarization,"Summarize the following text in 1–2 sentences:

The company reported a 20% increase in quarterly revenue driven by strong demand for its cloud services. However, rising operating costs slightly reduced overall profit margins.","Company revenue increased by 20% due to cloud demand, but higher costs reduced profit margins.",1.0,0,0
s2,llama3_dummy,"A new bike-sharing program gained 10,000 users in a month and aims to cut traffic and support sustainability.",summarization,"Summarize the following text in 1–2 sentences:

A new city-wide bike-sharing program launched last month and has already attracted over 10,000 registered users. Officials hope it will reduce traffic congestion and promote sustainability.","A new bike-sharing program gained 10,000 users in a month and aims to cut traffic and support sustainability.",1.0,0,0
c1,llama3_dummy,positive,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The product quality is amazing and I would definitely buy it again.",positive,1.0,0,0
c2,llama3_dummy,positive,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The service was terrible and I will not recommend this to anyone.",negative,0.0,0,0
c3,llama3_dummy,neutral,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The movie was okay, not great but not terrible either.",neutral,1.0,0,0
r1,gpt4_dummy,8,math_reasoning,John has 3 apples and buys 5 more. How many apples does he have now?,8,1.0,0,0
r2,gpt4_dummy,3.5,math_reasoning,A train leaves at 3 PM and arrives at 6:30 PM. How many hours is the journey?,3.5,1.0,0,0
r3,gpt4_dummy,5,math_reasoning,Sarah had 12 cookies and gave 7 to her friend. How many cookies does she have left?,5,1.0,0,0
s1,gpt4_dummy,"Company revenue increased by 20% due to cloud demand, but higher costs reduced profit margins.",summarization,"Summarize the following text in 1–2 sentences:

The company reported a 20% increase in quarterly revenue driven by strong demand for its cloud services. However, rising operating costs slightly reduced overall profit margins.","Company revenue increased by 20% due to cloud demand, but higher costs reduced profit margins.",1.0,0,0
s2,gpt4_dummy,"A new bike-sharing program gained 10,000 users in a month and aims to cut traffic and support sustainability.",summarization,"Summarize the following text in 1–2 sentences:

A new city-wide bike-sharing program launched last month and has already attracted over 10,000 registered users. Officials hope it will reduce traffic congestion and promote sustainability.","A new bike-sharing program gained 10,000 users in a month and aims to cut traffic and support sustainability.",1.0,0,0
c1,gpt4_dummy,positive,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The product quality is amazing and I would definitely buy it again.",positive,1.0,0,0
c2,gpt4_dummy,neutral,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The service was terrible and I will not recommend this to anyone.",negative,0.0,0,0
c3,gpt4_dummy,neutral,sentiment_classification,"Classify the sentiment of the following text as positive, negative, or neutral:

The movie was okay, not great but not terrible either.",neutral,1.0,0,0
